INFO 2022-07-06 17:59:09,276 autoreload 578 Watching for file changes with StatReloader
WARNING 2022-07-06 17:59:15,441 log 228 Not Found: /
WARNING 2022-07-06 17:59:15,441 basehttp 154 "GET / HTTP/1.1" 404 2092
WARNING 2022-07-06 17:59:16,118 log 228 Not Found: /
WARNING 2022-07-06 17:59:16,118 basehttp 154 "GET / HTTP/1.1" 404 2092
INFO 2022-07-06 17:59:30,811 basehttp 154 "GET /admin HTTP/1.1" 301 0
INFO 2022-07-06 17:59:30,820 basehttp 154 "GET /admin/ HTTP/1.1" 302 0
INFO 2022-07-06 17:59:30,852 basehttp 154 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1817
INFO 2022-07-06 17:59:30,876 basehttp 154 "GET /static/admin/css/login.css HTTP/1.1" 200 1233
INFO 2022-07-06 17:59:30,876 basehttp 154 "GET /static/admin/css/base.css HTTP/1.1" 200 16378
INFO 2022-07-06 17:59:30,877 basehttp 154 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17944
INFO 2022-07-06 17:59:30,886 basehttp 154 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2022-07-06 17:59:30,919 basehttp 154 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
INFO 2022-07-06 17:59:30,919 basehttp 154 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2022-07-06 18:00:34,217 autoreload 203 C:\Users\admin\Desktop\blog\blog\users\models.py changed, reloading.
INFO 2022-07-06 18:00:34,980 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 18:04:36,294 autoreload 203 C:\Users\admin\Desktop\blog\blog\users\migrations\0001_initial.py changed, reloading.
INFO 2022-07-06 18:04:36,981 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 18:13:32,598 autoreload 203 C:\Users\admin\Desktop\blog\blog\users\migrations\0001_initial.py changed, reloading.
INFO 2022-07-06 18:13:33,288 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 18:46:03,072 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 18:51:32,863 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 19:26:29,238 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 19:26:32,858 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 19:26:43,311 autoreload 203 C:\Users\admin\Desktop\blog\blog\blog\settings.py changed, reloading.
INFO 2022-07-06 19:26:46,646 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 19:27:37,559 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 19:30:05,075 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 20:01:58,737 autoreload 203 C:\Users\admin\Desktop\blog\blog\users\migrations\0001_initial.py changed, reloading.
INFO 2022-07-06 20:01:59,408 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 20:08:51,198 basehttp 154 "GET /register/ HTTP/1.1" 200 5319
WARNING 2022-07-06 20:08:51,245 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:08:51,245 basehttp 154 "GET /imagecode/?uuid=9967f3d7-14ce-4a04-9335-fbfb7488c544 HTTP/1.1" 404 2182
INFO 2022-07-06 20:08:52,981 basehttp 154 "GET /register/ HTTP/1.1" 200 5319
WARNING 2022-07-06 20:08:53,003 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:08:53,004 basehttp 154 "GET /imagecode/?uuid=b898d7d7-4e65-486c-af3f-61a583441ba8 HTTP/1.1" 404 2182
INFO 2022-07-06 20:08:53,166 basehttp 154 "GET /register/ HTTP/1.1" 200 5319
WARNING 2022-07-06 20:08:53,186 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:08:53,186 basehttp 154 "GET /imagecode/?uuid=b1f18d6a-c08f-4aee-9f36-fb1132ef5a32 HTTP/1.1" 404 2182
INFO 2022-07-06 20:08:53,356 basehttp 154 "GET /register/ HTTP/1.1" 200 5319
INFO 2022-07-06 20:08:53,386 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 6407
INFO 2022-07-06 20:08:53,386 basehttp 154 "GET /static/js/common.js HTTP/1.1" 200 891
INFO 2022-07-06 20:08:53,386 basehttp 154 "GET /static/js/host.js HTTP/1.1" 200 35
INFO 2022-07-06 20:08:53,387 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2022-07-06 20:08:53,388 basehttp 154 "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140942
INFO 2022-07-06 20:08:53,389 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
WARNING 2022-07-06 20:08:53,406 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:08:53,406 basehttp 154 "GET /imagecode/?uuid=e102a286-7aba-4ff6-ac6c-2d1e6fb31192 HTTP/1.1" 404 2182
WARNING 2022-07-06 20:08:53,429 log 228 Not Found: /favicon.ico
WARNING 2022-07-06 20:08:53,430 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 2143
INFO 2022-07-06 20:08:53,539 basehttp 154 "GET /register/ HTTP/1.1" 200 5319
WARNING 2022-07-06 20:08:53,565 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:08:53,565 basehttp 154 "GET /imagecode/?uuid=923f40f0-9583-481d-a583-fb31ce8b75b5 HTTP/1.1" 404 2182
INFO 2022-07-06 20:08:53,691 basehttp 154 "GET /register/ HTTP/1.1" 200 5319
INFO 2022-07-06 20:08:53,717 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 6407
INFO 2022-07-06 20:08:53,717 basehttp 154 "GET /static/js/host.js HTTP/1.1" 200 35
INFO 2022-07-06 20:08:53,717 basehttp 154 "GET /static/js/common.js HTTP/1.1" 200 891
INFO 2022-07-06 20:08:53,717 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2022-07-06 20:08:53,719 basehttp 154 "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140942
INFO 2022-07-06 20:08:53,719 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
WARNING 2022-07-06 20:08:53,735 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:08:53,736 basehttp 154 "GET /imagecode/?uuid=b0a7fe86-ddd8-467d-a356-507722a22410 HTTP/1.1" 404 2182
WARNING 2022-07-06 20:08:53,756 log 228 Not Found: /favicon.ico
WARNING 2022-07-06 20:08:53,757 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 2143
INFO 2022-07-06 20:08:53,869 basehttp 154 "GET /register/ HTTP/1.1" 200 5319
WARNING 2022-07-06 20:08:53,892 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:08:53,892 basehttp 154 "GET /imagecode/?uuid=a959d08f-18dc-496e-8d45-fd19f5d2cc0a HTTP/1.1" 404 2182
INFO 2022-07-06 20:08:54,036 basehttp 154 "GET /register/ HTTP/1.1" 200 5319
INFO 2022-07-06 20:08:54,059 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2022-07-06 20:08:54,059 basehttp 154 "GET /static/js/common.js HTTP/1.1" 200 891
INFO 2022-07-06 20:08:54,060 basehttp 154 "GET /static/js/host.js HTTP/1.1" 200 35
INFO 2022-07-06 20:08:54,060 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 6407
INFO 2022-07-06 20:08:54,062 basehttp 154 "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140942
INFO 2022-07-06 20:08:54,063 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
WARNING 2022-07-06 20:08:54,080 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:08:54,080 basehttp 154 "GET /imagecode/?uuid=53d781f9-3b3f-4179-9895-cb90be1911a8 HTTP/1.1" 404 2182
WARNING 2022-07-06 20:08:54,092 log 228 Not Found: /favicon.ico
WARNING 2022-07-06 20:08:54,092 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 2143
WARNING 2022-07-06 20:08:54,779 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:08:54,779 basehttp 154 "GET /imagecode/?uuid=07e23e21-2114-49e3-9020-e38cb3f94b69 HTTP/1.1" 404 2182
WARNING 2022-07-06 20:08:54,953 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:08:54,954 basehttp 154 "GET /imagecode/?uuid=f71b68ac-54c9-4afc-9505-90fcea3e9924 HTTP/1.1" 404 2182
WARNING 2022-07-06 20:08:55,121 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:08:55,121 basehttp 154 "GET /imagecode/?uuid=3a1f1b33-a5af-49ce-9563-3011de767aad HTTP/1.1" 404 2182
WARNING 2022-07-06 20:08:55,281 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:08:55,282 basehttp 154 "GET /imagecode/?uuid=7c1ac962-c513-4655-8575-8a0e98bca3ac HTTP/1.1" 404 2182
WARNING 2022-07-06 20:16:09,243 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:16:09,243 basehttp 154 "GET /imagecode/?uuid=6ceeb061-7db7-4a48-b575-dddf16fd7fb8 HTTP/1.1" 404 2182
WARNING 2022-07-06 20:16:09,396 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:16:09,396 basehttp 154 "GET /imagecode/?uuid=635e4288-d8a2-4cf7-9758-46e5acaff51d HTTP/1.1" 404 2182
WARNING 2022-07-06 20:16:09,576 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:16:09,576 basehttp 154 "GET /imagecode/?uuid=be26638c-e1f3-431f-b0b3-e15def6eb55e HTTP/1.1" 404 2182
WARNING 2022-07-06 20:16:10,505 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:16:10,506 basehttp 154 "GET /imagecode/?uuid=1c5097b3-41fb-4007-8bb1-56f0e3712b34 HTTP/1.1" 404 2182
INFO 2022-07-06 20:19:34,307 basehttp 154 "GET /static/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 562427
WARNING 2022-07-06 20:19:34,356 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
WARNING 2022-07-06 20:20:09,179 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:20:09,180 basehttp 154 "GET /imagecode/?uuid=563c48e3-e5d3-4118-9265-fddfb1c22207 HTTP/1.1" 404 2182
WARNING 2022-07-06 20:22:21,410 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:22:21,411 basehttp 154 "GET /imagecode/?uuid=ea03b224-085a-46b3-83e7-0d4b0a33cbd3 HTTP/1.1" 404 2182
WARNING 2022-07-06 20:22:21,578 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:22:21,579 basehttp 154 "GET /imagecode/?uuid=fcbbc95d-a70c-496d-9508-cfa243994e14 HTTP/1.1" 404 2182
WARNING 2022-07-06 20:22:21,754 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:22:21,754 basehttp 154 "GET /imagecode/?uuid=db115b32-85e4-4816-accc-0c64bd31ade7 HTTP/1.1" 404 2182
WARNING 2022-07-06 20:22:21,906 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:22:21,906 basehttp 154 "GET /imagecode/?uuid=d3f7b3e5-9836-4c56-b7b3-3a0a00630680 HTTP/1.1" 404 2182
WARNING 2022-07-06 20:22:22,074 log 228 Not Found: /imagecode/
WARNING 2022-07-06 20:22:22,074 basehttp 154 "GET /imagecode/?uuid=d5c34189-18f8-49d9-b2ab-380cdcd623bf HTTP/1.1" 404 2182
INFO 2022-07-06 20:23:46,783 autoreload 203 C:\Users\admin\Desktop\blog\blog\users\views.py changed, reloading.
INFO 2022-07-06 20:23:47,532 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 20:24:57,644 autoreload 203 C:\Users\admin\Desktop\blog\blog\users\views.py changed, reloading.
INFO 2022-07-06 20:24:59,579 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 20:25:07,925 autoreload 203 C:\Users\admin\Desktop\blog\blog\users\views.py changed, reloading.
INFO 2022-07-06 20:25:08,659 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 20:26:11,594 autoreload 203 C:\Users\admin\Desktop\blog\blog\users\views.py changed, reloading.
INFO 2022-07-06 20:26:12,406 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 20:27:42,689 autoreload 203 C:\Users\admin\Desktop\blog\blog\users\views.py changed, reloading.
INFO 2022-07-06 20:27:43,708 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 20:28:11,298 autoreload 203 C:\Users\admin\Desktop\blog\blog\users\views.py changed, reloading.
INFO 2022-07-06 20:28:12,322 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 20:35:04,589 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 20:35:23,741 autoreload 578 Watching for file changes with StatReloader
ERROR 2022-07-06 20:37:14,031 basehttp 154 "GET /imagecode/?uuid=123 HTTP/1.1" 500 59
INFO 2022-07-06 20:38:03,188 autoreload 578 Watching for file changes with StatReloader
ERROR 2022-07-06 20:38:24,265 basehttp 154 "GET /imagecode/?uuid=123 HTTP/1.1" 500 59
INFO 2022-07-06 20:41:04,280 autoreload 578 Watching for file changes with StatReloader
ERROR 2022-07-06 20:41:15,790 basehttp 154 "GET /imagecode/?uuid=123 HTTP/1.1" 500 59
INFO 2022-07-06 20:42:59,137 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 20:44:53,040 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 20:47:27,926 basehttp 154 "GET /imagecode/?uuid=123 HTTP/1.1" 200 2808
INFO 2022-07-06 20:50:13,643 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 20:50:31,654 basehttp 154 "GET /register/ HTTP/1.1" 200 5319
INFO 2022-07-06 20:50:31,726 basehttp 154 "GET /static/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 562427
INFO 2022-07-06 20:50:31,753 basehttp 154 "GET /imagecode/?uuid=12298158-5c4b-4e26-9a0d-cff026621ee0 HTTP/1.1" 200 3059
WARNING 2022-07-06 20:50:31,805 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
INFO 2022-07-06 20:50:36,644 basehttp 154 "GET /imagecode/?uuid=d40eec39-c388-4c65-a763-d856cbeab88e HTTP/1.1" 200 3174
INFO 2022-07-06 20:50:37,338 basehttp 154 "GET /imagecode/?uuid=933b0055-960e-404d-8579-a49881c48c34 HTTP/1.1" 200 3176
INFO 2022-07-06 20:50:37,469 basehttp 154 "GET /imagecode/?uuid=589b6e17-cfd2-4fa3-85b8-3401701f98ed HTTP/1.1" 200 3158
INFO 2022-07-06 21:50:06,652 autoreload 203 C:\Users\admin\Desktop\blog\blog\users\views.py changed, reloading.
INFO 2022-07-06 21:50:07,513 autoreload 578 Watching for file changes with StatReloader
INFO 2022-07-06 21:56:24,685 autoreload 203 C:\Users\admin\Desktop\blog\blog\users\views.py changed, reloading.
INFO 2022-07-06 21:56:25,594 autoreload 578 Watching for file changes with StatReloader
